iter	Passed	Remaining
0	55	55232
1	55	27746
2	55	18575
3	56	14006
4	56	11258
5	56	9420
6	57	8116
7	57	7129
8	57	6357
9	58	5744
10	58	5242
11	58	4823
12	58	4465
13	59	4178
14	59	3920
15	60	3690
16	60	3488
17	60	3305
18	60	3141
19	61	2993
20	61	2860
21	61	2739
22	61	2630
23	62	2530
24	62	2438
25	62	2354
26	63	2276
27	63	2202
28	63	2133
29	64	2070
30	64	2009
31	64	1953
32	64	1901
33	65	1851
34	65	1805
35	65	1761
36	66	1719
37	66	1679
38	66	1642
39	66	1606
40	67	1573
41	67	1541
42	67	1510
43	68	1481
44	68	1452
45	68	1425
46	69	1399
47	69	1374
48	69	1351
49	69	1327
50	70	1305
51	70	1283
52	70	1263
53	70	1243
54	71	1225
55	71	1207
56	71	1188
57	72	1170
58	72	1153
59	72	1137
60	72	1121
61	73	1106
62	73	1092
63	73	1078
64	74	1066
65	74	1052
66	74	1040
67	75	1028
68	75	1016
69	75	1005
70	75	993
71	76	981
72	76	970
73	76	959
74	76	949
75	77	938
76	77	928
77	77	918
78	77	909
79	78	899
80	78	890
81	78	881
82	78	871
83	79	863
84	79	854
85	79	847
86	80	839
87	80	832
88	80	826
89	81	819
90	81	811
91	81	804
92	81	797
93	82	790
94	82	784
95	82	780
96	83	773
97	83	767
98	83	761
99	83	755
100	84	748
101	84	743
102	84	737
103	84	731
104	85	726
105	85	720
106	85	714
107	85	709
108	86	704
109	86	699
110	86	694
111	86	689
112	87	684
113	87	679
114	87	675
115	88	670
116	88	665
117	88	661
118	88	657
119	89	653
120	89	648
121	89	643
122	89	639
123	89	635
124	90	632
125	90	629
126	90	624
127	91	621
128	91	618
129	91	614
130	92	610
131	92	607
132	92	604
133	92	600
134	93	597
135	93	593
136	93	590
137	93	586
138	94	583
139	94	580
140	94	577
141	95	574
142	95	571
143	95	568
144	95	565
145	96	563
146	96	560
147	96	557
148	97	554
149	97	552
150	97	549
151	98	547
152	98	544
153	98	541
154	98	539
155	99	536
156	99	534
157	99	531
158	100	529
159	100	526
160	100	523
161	100	520
162	100	518
163	101	516
164	101	513
165	101	511
166	102	509
167	102	506
168	102	504
169	102	502
170	103	500
171	103	497
172	103	495
173	104	493
174	104	491
175	104	489
176	104	487
177	105	485
178	105	483
179	105	481
180	105	479
181	106	477
182	106	475
183	106	473
184	107	471
185	107	469
186	107	467
187	107	466
188	108	464
189	108	462
190	108	460
191	109	458
192	109	456
193	109	455
194	109	453
195	110	451
196	110	449
197	110	447
198	110	446
199	111	444
200	111	442
201	111	441
202	111	439
203	112	437
204	112	436
205	112	434
206	112	432
207	113	431
208	113	429
209	113	427
210	113	426
211	114	424
212	114	423
213	114	421
214	115	420
215	115	418
216	115	417
217	115	415
218	116	414
219	116	412
220	116	411
221	116	409
222	117	408
223	117	406
224	117	405
225	117	404
226	118	402
227	118	401
228	118	400
229	119	398
230	119	397
231	119	395
232	119	394
233	120	392
234	120	391
235	120	390
236	120	388
237	121	387
238	121	386
239	121	385
240	121	383
241	122	382
242	122	381
243	122	380
244	123	379
245	123	377
246	123	376
247	123	375
248	124	374
249	124	372
250	124	371
251	124	370
252	125	371
253	125	369
254	126	368
255	126	367
256	126	366
257	126	365
258	127	364
259	127	363
260	127	362
261	128	361
262	128	360
263	128	359
264	129	358
265	129	357
266	129	356
267	129	354
268	130	353
269	130	352
270	130	351
271	131	350
272	131	349
273	131	348
274	131	347
275	132	346
276	132	345
277	132	344
278	133	343
279	133	342
280	133	341
281	133	340
282	134	340
283	134	339
284	134	338
285	135	337
286	135	336
287	135	335
288	135	334
289	136	333
290	136	332
291	136	331
292	136	330
293	137	329
294	137	328
295	137	327
296	137	326
297	138	325
298	138	324
299	138	323
300	139	323
301	139	322
302	139	321
303	139	320
304	140	319
305	140	318
306	140	318
307	141	317
308	141	316
309	141	315
310	142	314
311	142	313
312	142	312
313	142	312
314	143	311
315	143	310
316	143	309
317	143	308
318	144	307
319	144	306
320	144	305
321	144	305
322	145	304
323	145	303
324	145	302
325	145	301
326	146	300
327	146	300
328	146	299
329	146	298
330	147	297
331	147	296
332	147	296
333	148	295
334	148	294
335	148	294
336	149	293
337	149	292
338	149	292
339	150	291
340	150	290
341	150	289
342	150	288
343	151	288
344	151	287
345	151	286
346	152	286
347	152	285
348	152	284
349	152	283
350	153	283
351	153	282
352	153	281
353	153	280
354	154	280
355	154	279
356	154	278
357	155	278
358	155	277
359	155	276
360	155	275
361	156	275
362	156	274
363	156	273
364	156	272
365	157	272
366	157	271
367	157	270
368	157	270
369	158	269
370	158	268
371	158	268
372	159	267
373	159	266
374	159	266
