iter	Passed	Remaining
375	159	265
376	160	264
377	160	264
378	160	263
379	161	262
380	161	262
381	161	261
382	161	260
383	162	259
384	162	259
385	162	258
386	162	258
387	163	257
388	163	256
389	163	256
390	164	255
391	164	254
392	164	254
393	164	253
394	165	252
395	165	252
396	165	251
397	165	250
398	166	250
399	166	249
400	166	249
401	167	248
402	167	248
403	167	247
404	168	246
405	168	246
406	168	245
407	168	245
408	169	244
409	169	243
410	169	243
411	169	242
412	170	241
413	170	241
414	170	240
415	171	240
416	171	239
417	171	238
418	171	238
419	172	237
420	172	237
421	172	236
422	173	236
423	173	235
424	173	234
425	173	234
426	174	233
427	174	232
428	174	232
429	174	231
430	175	231
431	175	230
432	175	230
433	176	229
434	176	229
435	177	229
436	177	228
437	177	228
438	178	227
439	178	227
440	178	226
441	179	226
442	179	225
443	179	225
444	180	224
445	180	223
446	180	223
447	180	222
448	180	222
449	181	221
450	181	221
451	181	220
452	182	220
453	182	219
454	183	219
455	183	218
456	183	218
457	184	217
458	184	217
459	184	217
460	185	216
461	185	216
462	185	215
463	186	214
464	186	214
465	186	213
466	186	213
467	187	212
468	187	212
469	188	212
470	188	211
471	188	211
472	189	210
473	189	210
474	189	209
475	190	209
476	190	208
477	190	208
478	191	208
479	191	207
480	191	207
481	192	206
482	192	206
483	192	205
484	192	204
485	193	204
486	193	203
487	193	203
488	194	202
489	194	202
490	194	201
491	195	201
492	195	200
493	195	200
494	195	199
495	196	199
496	196	198
497	196	198
498	196	197
499	197	197
500	197	196
501	197	196
502	197	195
503	198	195
504	198	194
505	198	194
506	199	193
507	199	193
508	199	192
509	199	192
510	200	191
511	200	190
512	200	190
513	200	189
514	201	189
515	201	188
516	201	188
517	201	187
518	202	187
519	202	186
520	202	186
521	202	185
522	202	185
523	203	184
524	203	184
525	203	183
526	204	183
527	204	182
528	204	182
529	204	181
530	205	181
531	205	181
532	206	180
533	206	180
534	206	179
535	207	179
536	207	178
537	207	178
538	207	177
539	208	177
540	208	176
541	208	176
542	208	175
543	209	175
544	209	174
545	209	174
546	209	173
547	210	173
548	210	172
549	210	172
550	210	171
551	211	171
552	211	170
553	211	170
554	211	169
555	212	169
556	212	168
557	212	168
558	212	167
559	213	167
560	213	167
561	213	166
562	213	166
563	214	165
564	214	165
565	214	164
566	215	164
567	215	163
568	215	163
569	215	162
570	216	162
571	216	161
572	216	161
573	216	161
574	217	160
575	217	160
576	217	159
577	218	159
578	218	158
579	218	158
580	219	157
581	219	157
582	219	157
583	220	156
584	220	156
585	221	156
586	221	155
587	221	155
588	222	155
589	223	155
590	223	154
591	223	154
592	224	153
593	224	153
594	224	152
595	225	152
596	225	152
597	225	151
598	225	151
599	226	150
600	226	150
601	226	149
602	227	149
603	227	149
604	227	148
605	228	148
606	228	147
607	228	147
608	228	146
609	228	146
610	229	145
611	229	145
612	229	145
613	229	144
614	230	144
615	230	143
616	230	143
617	230	142
618	231	142
619	231	141
620	231	141
621	232	141
622	232	140
623	232	140
624	232	139
625	233	139
626	233	138
627	233	138
628	233	137
629	234	137
630	234	137
631	234	136
632	235	136
633	235	135
634	235	135
635	236	135
636	236	134
637	236	134
638	236	133
639	237	133
640	237	132
641	237	132
642	238	132
643	238	131
644	238	131
645	238	130
646	239	130
647	239	130
648	239	129
649	239	129
650	240	128
651	240	128
652	240	128
653	241	127
654	241	127
655	241	126
656	241	126
657	242	125
658	242	125
659	242	125
660	243	124
661	243	124
662	243	124
663	244	123
664	244	123
665	244	122
666	244	122
667	245	121
668	245	121
669	245	121
670	246	120
671	246	120
672	246	119
673	246	119
674	247	119
675	247	118
676	247	118
677	248	117
678	248	117
679	248	116
680	248	116
681	249	116
682	249	115
683	249	115
684	250	114
685	250	114
686	250	114
687	250	113
688	251	113
689	251	112
690	251	112
691	251	112
692	252	111
693	252	111
694	252	110
695	252	110
696	253	110
697	253	109
698	253	109
699	254	108
700	254	108
701	254	108
702	254	107
703	255	107
704	255	106
705	255	106
706	255	106
707	256	105
708	256	105
709	256	104
710	256	104
711	257	104
712	257	103
713	257	103
714	257	102
715	258	102
716	258	102
717	258	101
718	258	101
719	259	100
720	259	100
721	259	100
722	259	99
723	260	99
724	260	98
725	260	98
726	261	98
727	261	97
728	261	97
729	261	96
730	262	96
731	262	96
732	262	95
733	262	95
734	263	94
735	263	94
736	263	94
737	263	93
738	264	93
739	264	92
740	264	92
741	264	92
742	265	91
743	265	91
744	265	90
745	266	90
746	266	90
747	266	89
748	267	89
749	267	89
750	267	88
751	267	88
752	268	87
753	268	87
754	268	87
755	268	86
756	269	86
757	269	86
758	269	85
759	269	85
760	270	84
761	270	84
762	270	84
763	270	83
764	271	83
765	271	82
766	271	82
767	271	82
768	272	81
769	272	81
770	272	81
771	273	80
772	273	80
773	273	79
774	273	79
775	274	79
776	274	78
777	274	78
778	274	78
779	275	77
780	275	77
781	275	76
782	276	76
783	276	76
784	276	75
785	276	75
786	277	75
787	277	74
788	277	74
789	277	73
790	278	73
791	278	73
792	278	72
793	279	72
794	279	72
795	279	71
796	280	71
797	280	70
798	280	70
799	280	70
800	281	69
801	281	69
802	281	69
803	282	68
804	282	68
805	282	68
806	282	67
807	283	67
808	283	66
809	283	66
810	283	66
811	284	65
812	284	65
813	284	65
814	285	64
815	285	64
816	285	63
817	285	63
818	286	63
819	286	62
820	286	62
821	286	62
822	287	61
823	287	61
824	287	61
825	287	60
826	288	60
827	288	59
828	288	59
829	288	59
830	289	58
831	289	58
832	289	58
833	290	57
834	290	57
835	290	57
836	291	56
837	291	56
838	291	55
839	291	55
840	292	55
841	292	54
842	292	54
843	293	54
844	293	53
845	293	53
846	293	53
847	294	52
848	294	52
849	294	52
850	294	51
851	295	51
852	295	50
853	295	50
854	296	50
855	296	49
856	296	49
857	297	49
858	297	48
859	297	48
860	297	48
861	298	47
862	298	47
863	299	47
864	299	46
865	299	46
866	299	45
867	300	45
868	300	45
869	300	44
870	300	44
871	301	44
872	301	43
873	301	43
874	302	43
875	302	42
876	302	42
877	302	42
878	303	41
879	303	41
880	303	41
881	304	40
882	304	40
883	304	39
884	304	39
885	305	39
886	305	38
887	305	38
888	305	38
889	306	37
890	306	37
891	306	37
892	307	36
893	307	36
894	307	36
895	307	35
896	308	35
897	308	35
898	308	34
899	309	34
900	309	34
901	309	33
902	310	33
903	310	32
904	310	32
905	310	32
906	311	31
907	311	31
908	311	31
909	311	30
910	312	30
911	312	30
912	312	29
913	312	29
914	313	29
915	313	28
916	313	28
917	313	28
918	314	27
919	314	27
920	314	27
921	315	26
922	315	26
923	315	25
924	315	25
925	316	25
926	316	24
927	316	24
928	316	24
929	317	23
930	317	23
931	317	23
932	317	22
933	318	22
934	318	22
935	318	21
936	319	21
937	319	21
938	319	20
939	319	20
940	320	20
941	320	19
942	320	19
943	320	19
944	321	18
945	321	18
946	321	18
947	322	17
948	322	17
949	322	16
950	322	16
951	323	16
952	323	15
953	323	15
954	323	15
955	324	14
956	324	14
957	324	14
958	324	13
959	325	13
960	325	13
961	325	12
962	326	12
963	326	12
964	326	11
965	327	11
966	327	11
967	327	10
968	327	10
969	328	10
970	328	9
971	328	9
972	328	9
973	329	8
974	329	8
975	329	8
976	329	7
977	330	7
978	330	7
979	330	6
980	331	6
981	331	6
982	331	5
983	331	5
984	332	5
985	332	4
986	332	4
987	332	4
988	333	3
989	333	3
990	333	3
991	334	2
992	334	2
993	334	2
994	334	1
995	335	1
996	335	1
997	335	0
998	335	0
999	336	0
